"","link_id","site_id","slope_lumped_mean","slope_lumped_sd","slope_lumped_min","slope_lumped_max","LC_1_lumped_prop","LC_2_lumped_prop","LC_3_lumped_prop","LC_4_lumped_prop","LC_5_lumped_prop","LC_6_lumped_prop","LC_7_lumped_prop","GEO_NAME_CZfg_lumped_prop","GEO_NAME_CZbg_lumped_prop","GEO_NAME_CZam_lumped_prop","GEO_NAME_Km_lumped_prop","GEO_NAME_CZg_lumped_prop","GEO_NAME_CZve_lumped_prop","GEO_NAME_CZig_lumped_prop","GEO_NAME_CZlg_lumped_prop","pontsrc_pontsrc_lumped_prop","slope_iFLS_mean","slope_iFLS_sd","LC_1_iFLS_prop","LC_2_iFLS_prop","LC_3_iFLS_prop","LC_4_iFLS_prop","LC_5_iFLS_prop","LC_6_iFLS_prop","LC_7_iFLS_prop","GEO_NAME_CZfg_iFLS_prop","GEO_NAME_CZbg_iFLS_prop","GEO_NAME_CZam_iFLS_prop","GEO_NAME_Km_iFLS_prop","GEO_NAME_CZg_iFLS_prop","GEO_NAME_CZve_iFLS_prop","GEO_NAME_CZig_iFLS_prop","GEO_NAME_CZlg_iFLS_prop","pontsrc_pontsrc_iFLS_prop","slope_iFLO_mean","slope_iFLO_sd","LC_1_iFLO_prop","LC_2_iFLO_prop","LC_3_iFLO_prop","LC_4_iFLO_prop","LC_5_iFLO_prop","LC_6_iFLO_prop","LC_7_iFLO_prop","GEO_NAME_CZfg_iFLO_prop","GEO_NAME_CZbg_iFLO_prop","GEO_NAME_CZam_iFLO_prop","GEO_NAME_Km_iFLO_prop","GEO_NAME_CZg_iFLO_prop","GEO_NAME_CZve_iFLO_prop","GEO_NAME_CZig_iFLO_prop","GEO_NAME_CZlg_iFLO_prop","pontsrc_pontsrc_iFLO_prop","slope_HAiFLO_mean","slope_HAiFLO_sd","LC_1_HAiFLO_prop","LC_2_HAiFLO_prop","LC_3_HAiFLO_prop","LC_4_HAiFLO_prop","LC_5_HAiFLO_prop","LC_6_HAiFLO_prop","LC_7_HAiFLO_prop","GEO_NAME_CZfg_HAiFLO_prop","GEO_NAME_CZbg_HAiFLO_prop","GEO_NAME_CZam_HAiFLO_prop","GEO_NAME_Km_HAiFLO_prop","GEO_NAME_CZg_HAiFLO_prop","GEO_NAME_CZve_HAiFLO_prop","GEO_NAME_CZig_HAiFLO_prop","GEO_NAME_CZlg_HAiFLO_prop","pontsrc_pontsrc_HAiFLO_prop","slope_HAiFLS_mean","slope_HAiFLS_sd","LC_1_HAiFLS_prop","LC_2_HAiFLS_prop","LC_3_HAiFLS_prop","LC_4_HAiFLS_prop","LC_5_HAiFLS_prop","LC_6_HAiFLS_prop","LC_7_HAiFLS_prop","GEO_NAME_CZfg_HAiFLS_prop","GEO_NAME_CZbg_HAiFLS_prop","GEO_NAME_CZam_HAiFLS_prop","GEO_NAME_Km_HAiFLS_prop","GEO_NAME_CZg_HAiFLS_prop","GEO_NAME_CZve_HAiFLS_prop","GEO_NAME_CZig_HAiFLS_prop","GEO_NAME_CZlg_HAiFLS_prop","pontsrc_pontsrc_HAiFLS_prop"
"1061","540",NA,2.13723647545596,0.61613282665453,0.335128843784332,3.31397604942322,0.80327868852459,0,0,0,0.19672131147541,0,0,0,0,0,0,0,0,1,0,0,2.13533601438878,0.614579486826599,0.795472574761435,0,0,0,0.204527425238565,0,0,0,0,0,0,0,0,1,0,0,2.13712595076236,0.620563377849348,0.800079993739347,0,0,0,0.199920006260653,0,0,0,0,0,0,0,0,1,0,0,1.66421212590913,0.543350010954477,0.750671850215581,0,0,0,0.249328149784419,0,0,0,0,0,0,0,0,1,0,0,1.77261079961142,0.570422822684629,0.692605280153832,0,0,0,0.307394719846168,0,0,0,0,0,0,0,0,1,0,0
"1062","537",NA,6.52064786320147,2.62768762538381,0.734171569347382,12.2885723114014,0,0.0173913043478261,0,0.260869565217391,0.721739130434783,0,0,1,0,0,0,0,0,0,0,0,6.61283348861158,2.6677117707047,0,0.0144455427150308,0,0.244716508876632,0.740837948408337,0,0,1,0,0,0,0,0,0,0,0,6.60206450544213,2.66593724387696,0,0.0145559838507018,0,0.244662937535853,0.740781078613445,0,0,1,0,0,0,0,0,0,0,0,5.21228124660643,1.721162022611,0,0.0011582728765193,0,0.179350257832918,0.819491469290563,0,0,1,0,0,0,0,0,0,0,0,5.69002625632687,2.16100698155081,0,0.00332713035423614,0,0.289815222916639,0.706857646729125,0,0,1,0,0,0,0,0,0,0,0
"1063","535",NA,4.05028808658773,1.62513400819106,0.806094825267792,6.96446847915649,0,0,0,0.0909090909090909,0.909090909090909,0,0,1,0,0,0,0,0,0,0,0,4.09009845017772,1.61984440277254,0,0,0,0.087590730923515,0.912409269076485,0,0,1,0,0,0,0,0,0,0,0,4.08570158928536,1.62117360775983,0,0,0,0.0874606856441179,0.912539314355882,0,0,1,0,0,0,0,0,0,0,0,3.06754929262144,1.364661624832,0,0,0,0.0699031071098587,0.930096892890141,0,0,1,0,0,0,0,0,0,0,0,3.5834814213334,1.51854840772669,0,0,0,0.103596237154453,0.896403762845547,0,0,1,0,0,0,0,0,0,0,0
"1064","530",NA,3.1326929041114,1.34790381176181,0.0600232183933258,6.6537036895752,0,0.139442231075697,0.00398406374501992,0.374501992031873,0.450199203187251,0.0318725099601594,0,0.211155378486056,0,0,0,0,0,0,0.788844621513944,0,3.19945912158943,1.35896293626164,0,0.139177006119186,0.00367379805589659,0.34924972547925,0.47168977145892,0.036209698886748,0,0.208675215322775,0,0,0,0,0,0,0.791324784677225,0,3.18123691611298,1.35987687954322,0,0.135385771826493,0.00369780670840295,0.355715803833582,0.470350452516609,0.0348501651149134,0,0.215484308778039,0,0,0,0,0,0,0.784515691221961,0,2.57990133818522,1.05544556347765,0,0.0278337682157192,0.000254912636116924,0.108785266161766,0.731735302912046,0.131390750074352,0,0.225620736125032,0,0,0,0,0,0,0.774379263874968,0,3.09892246842634,1.20527540657858,0,0.0883741470530081,0.00116336111159136,0.30497325511316,0.595574389498078,0.00991484722416259,0,0.168803535899537,0,0,0,0,0,0,0.831196464100463,0
"1065","518",NA,1.70732382759452,0.894952892740004,0.28239318728447,5.21403217315674,0.865,0,0.09,0,0.045,0,0,0,0,0,0,0,0,1,0,0,1.70541305438269,0.877766634484476,0.864934677289723,0,0.0854895508197984,0,0.0495757718904785,0,0,0,0,0,0,0,0,1,0,0,1.73588821501111,0.878443099274113,0.856933391535193,0,0.0806878854790345,0,0.0623787229857723,0,0,0,0,0,0,0,0,1,0,0,1.57023189044756,0.773754599577652,0.882660902657022,0,0.0381045082478702,0,0.0792345890951075,0,0,0,0,0,0,0,0,1,0,0,1.32102777250202,0.80631642953591,0.824080432470502,0,0.147733166712513,0,0.0281864008169855,0,0,0,0,0,0,0,0,1,0,0
"1066","549",NA,5.15676762600138,2.43284111772606,0.230563312768936,11.8860216140747,0,0,0,0.0404040404040404,0.934343434343434,0.0252525252525253,0,1,0,0,0,0,0,0,0,0,5.25698864896706,2.44699819517388,0,0,0,0.0355806811825169,0.934610096098242,0.0298092227192408,0,1,0,0,0,0,0,0,0,0,5.22423664523815,2.44127032166286,0,0,0,0.0357711529207008,0.932085699078555,0.0321431480007447,0,1,0,0,0,0,0,0,0,0,4.01918031893295,1.99480015842694,0,0,0,0.00347677933475719,0.728633463731707,0.267889756933536,0,1,0,0,0,0,0,0,0,0,5.09021640588206,1.89907713439128,0,0,0,0.011545222948448,0.985258678054443,0.0031960989971087,0,1,0,0,0,0,0,0,0,0
"1067","546.1","80",2.38311255438761,0.943040142295691,0.399714320898056,4.3414740562439,0,0,0,0.290909090909091,0.709090909090909,0,0,0,0,0,0,0,0,1,0,0,2.40848469922929,0.949204433466775,0,0,0,0.285519465582338,0.714480534417662,0,0,0,0,0,0,0,0,1,0,0,2.39846509631774,0.95192375637582,0,0,0,0.288722286225192,0.711277713774808,0,0,0,0,0,0,0,0,1,0,0,1.78030709027842,0.767057555158264,0,0,0,0.359506764593277,0.640493235406723,0,0,0,0,0,0,0,0,1,0,0,1.94407099651869,0.90352350356786,0,0,0,0.287934155613805,0.712065844386195,0,0,0,0,0,0,0,0,1,0,0
"1068","697",NA,2.02317823939904,0.953365895387771,0.0971947908401489,5.87300395965576,0.726235741444867,0,0.00760456273764259,0,0.26425855513308,0.00190114068441065,0,0,0,0,0,0,0,1,0,0,2.03941017188913,0.95536376376227,0.716418585462804,0,0.00681818713553131,0,0.275174312458772,0.00158891494289254,0,0,0,0,0,0,0,1,0,0,2.04027581390057,0.965853951329162,0.729917038065312,0,0.00649273542568358,0,0.261946528884385,0.00164369762461935,0,0,0,0,0,0,0,1,0,0,1.53389553491745,0.83326854793401,0.644316033675053,0,0.000420620270473341,0,0.355207311313224,5.60347412497685e-05,0,0,0,0,0,0,0,1,0,0,1.94870097231881,0.878270019514818,0.718643175820817,0,0.00289205747170884,0,0.277996489400168,0.000468277307306118,0,0,0,0,0,0,0,1,0,0
"1069","536",NA,3.02377905495583,1.3350793509275,0.2998046875,6.28607845306396,0.455026455026455,0,0,0.17989417989418,0.365079365079365,0,0,0,0,0,0,0,0,1,0,0,3.0536085568476,1.3425984591104,0.45503708976619,0,0,0.174713877972919,0.370249032260891,0,0,0,0,0,0,0,0,1,0,0,3.0744001356514,1.36004912825246,0.460882385685946,0,0,0.165415514090248,0.373702100223806,0,0,0,0,0,0,0,0,1,0,0,2.2925659309224,0.918056866123554,0.402589539050996,0,0,0.0946878126875076,0.502722648261497,0,0,0,0,0,0,0,0,1,0,0,2.80319582002319,1.3208831660254,0.400670986035303,0,0,0.303290540446495,0.296038473518202,0,0,0,0,0,0,0,0,1,0,0
"1070","723",NA,2.11540296728558,1.05554339915341,0.0572512298822403,6.37292337417603,0.713472485768501,0,0.0218216318785579,0,0.264705882352941,0,0,0,0,0,0,0,0,1,0,0,2.12973063631475,1.06307292038671,0.715757036245881,0,0.0212526670704239,0,0.262990296683695,0,0,0,0,0,0,0,0,1,0,0,2.13314647478026,1.06880162975809,0.710240736520661,0,0.0172799266299881,0,0.272479336849351,0,0,0,0,0,0,0,0,1,0,0,1.53280201563469,0.843666397414746,0.873282431070096,0,0.00222387094334819,0,0.124493697986556,0,0,0,0,0,0,0,0,1,0,0,1.95868585637133,0.994903256956095,0.761120444777689,0,0.0261105268612333,0,0.212769028361078,0,0,0,0,0,0,0,0,1,0,0
"1071","545",NA,4.53308328744527,1.95990748197221,0.612503051757812,9.95164012908936,0.144144144144144,0,0.0630630630630631,0.0540540540540541,0.738738738738739,0,0,1,0,0,0,0,0,0,0,0,4.62418921519297,1.98731475441446,0.131016010348349,0,0.0602997481110475,0.0505182217855469,0.758166019755057,0,0,1,0,0,0,0,0,0,0,0,4.62277126096942,1.98727120503844,0.131150748913964,0,0.0602331330402566,0.0504888030574586,0.758127314988321,0,0,1,0,0,0,0,0,0,0,0,4.24131416956866,1.20447366771691,0.0184887242306655,0,0.0187671936481011,0.00544225050105879,0.957301831620175,0,0,1,0,0,0,0,0,0,0,0,4.72920206488935,1.3077274918404,0.0405572526303368,0,0.0322489689072867,0.0134212880994634,0.913772490362913,0,0,1,0,0,0,0,0,0,0,0
"1072","534",NA,4.46150141860451,2.35351208347196,0.29525038599968,10.6337213516235,0.00900900900900901,0,0.0630630630630631,0.261261261261261,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,4.58888157400944,2.39637034966506,0.0074169776344438,0,0.0563069312397513,0.248698150280952,0.687577940844853,0,0,1,0,0,0,0,0,0,0,0,4.54984563844061,2.39955625264951,0.00804883687242348,0,0.0586942682189512,0.251575488555212,0.681681406353413,0,0,1,0,0,0,0,0,0,0,0,3.32090839424898,1.58157377860811,0.000582780632083196,0,0.0162511530245335,0.179607671085477,0.803558395257906,0,0,1,0,0,0,0,0,0,0,0,4.27683571324516,1.89683330391273,0.00210815458652066,0,0.0389192421160309,0.405048077013483,0.553924526283966,0,0,1,0,0,0,0,0,0,0,0
"1073","728",NA,2.70594412809705,1.22098327536595,0.12253050506115,6.04998588562012,0.0239043824701195,0.0199203187250996,0.0637450199203187,0.0856573705179283,0.806772908366534,0,0,0,0,1,0,0,0,0,0,0,2.72898124228393,1.22495073211963,0.0227242097863911,0.0170957976179503,0.060150687767307,0.075895695048212,0.824133609780139,0,0,0,0,1,0,0,0,0,0,0,2.70304578676317,1.22369400861891,0.0240184133606348,0.0176807013290509,0.0615340014482146,0.0694979244366764,0.827268959425423,0,0,0,0,1,0,0,0,0,0,0,1.88046310441414,0.874673470651335,0.00138625214318673,0.00169666112265057,0.00579486793577364,0.00414017307802362,0.986982045720365,0,0,0,0,1,0,0,0,0,0,0,2.5995024396796,1.20687299997643,0.0115171761494874,0.0125183913197369,0.0433679654555107,0.0389088240838419,0.893687642991423,0,0,0,0,1,0,0,0,0,0,0
"1074","718",NA,2.02050201630907,0.988591278325088,0.0971947908401489,5.94568681716919,0.74468085106383,0,0.0190755685986794,0,0.234776228906823,0.00146735143066764,0,0,0,0,0,0,0,1,0,0,2.03474491096289,0.990872993290978,0.73575322649014,0,0.0180114677890194,0,0.24501264271893,0.0012226630019112,0,0,0,0,0,0,0,1,0,0,2.03653112715769,0.99902771416199,0.746689864397486,0,0.018151551038748,0,0.233942666325106,0.00121591823865936,0,0,0,0,0,0,0,1,0,0,1.52638349610326,0.811466533679525,0.683373265391199,0,0.00367240617307719,0,0.312918576893001,3.57515427228089e-05,0,0,0,0,0,0,0,1,0,0,1.88601091324823,0.918736835026267,0.71131260006084,0,0.021221140326929,0,0.267096258355928,0.00037000125630301,0,0,0,0,0,0,0,1,0,0
"1075","528",NA,2.38948366419897,1.38032332451285,0.224729120731354,7.447181224823,0.539923954372624,0,0.11787072243346,0,0.288973384030418,0,0,0,0,0,0,0,0,1,0,0,2.41690711324772,1.38790164525778,0.528345773610327,0,0.109898968321531,0,0.310013383739535,0,0,0,0,0,0,0,0,1,0,0,2.43155482599367,1.39599016477854,0.505871163235467,0,0.101660552757522,0,0.335463631655948,0,0,0,0,0,0,0,0,1,0,0,2.06039151385752,0.959697188360274,0.179832757536759,0,0.0349495713050338,0,0.781968570606031,0,0,0,0,0,0,0,0,1,0,0,2.28329350608333,1.20456100044642,0.455815368446755,0,0.166942108348008,0,0.356005340077755,0,0,0,0,0,0,0,0,1,0,0
"1076","717",NA,3.50069947158363,2.50739602910603,0.223658308386803,14.7583913803101,0,0,0,0.139072847682119,0.860927152317881,0,0,0,0,1,0,0,0,0,0,0,3.50641122406309,2.54046036151183,0,0,0,0.122355491250164,0.877644508749836,0,0,0,0,1,0,0,0,0,0,0,3.58272947514356,2.62897361778503,0,0,0,0.116054552765403,0.883945447234597,0,0,0,0,1,0,0,0,0,0,0,2.14985344648629,1.39662822886355,0,0,0,0.0143396734896707,0.985660326510329,0,0,0,0,1,0,0,0,0,0,0,3.0916357616365,2.4269797178583,0,0,0,0.0759611350304046,0.924038864969595,0,0,0,0,1,0,0,0,0,0,0
"1077","550",NA,1.93908873605816,1.22829585401102,0.0855695009231567,5.75954103469849,0.779411764705882,0,0,0,0.220588235294118,0,0,0,0,0,0,0,0,1,0,0,2.00299079479929,1.27123858702543,0.747531207079192,0,0,0,0.252468792920808,0,0,0,0,0,0,0,0,1,0,0,2.00896390606813,1.28021558861981,0.7446354339465,0,0,0,0.2553645660535,0,0,0,0,0,0,0,0,1,0,0,2.67732932523484,1.22130886783539,0.334875145773047,0,0,0,0.665124854226953,0,0,0,0,0,0,0,0,1,0,0,2.06298171728351,1.08861520856666,0.66426528827864,0,0,0,0.33573471172136,0,0,0,0,0,0,0,0,1,0,0
"1078","543",NA,2.48076649913516,1.05687496035297,0.365964740514755,5.29908895492554,0.0829015544041451,0.0310880829015544,0.0103626943005181,0.212435233160622,0.663212435233161,0,0,0,0.077720207253886,0.922279792746114,0,0,0,0,0,0,2.48284726563012,1.04749054021228,0.0718564504060131,0.0248222490915394,0.00819772340352223,0.19975262196867,0.695370955130255,0,0,0,0.0721796769584109,0.927820323041589,0,0,0,0,0,0,2.49038410635297,1.05259350765346,0.0716795009307364,0.0248655376162608,0.00822310548034933,0.19665034496847,0.698581511004184,0,0,0,0.0706173969124339,0.929382603087566,0,0,0,0,0,0,1.97004080218119,0.92764851462877,0.0137794432478918,0.00267326948363493,0.000527809931198482,0.0611318155746477,0.921887661762627,0,0,0,0.00666549020065327,0.993334509799347,0,0,0,0,0,0,2.07828747405159,1.03333709383212,0.0359194445472789,0.00830362177501398,0.00204928630742212,0.146415204563973,0.807312442806312,0,0,0,0.0222954420232502,0.97770455797675,0,0,0,0,0,0
